Year,Age,mx
1942,56,0.01988
1942,57,0.02143
1942,58,0.0231
1942,59,0.02484
1942,60,0.0262
1942,61,0.02768
1942,62,0.02955
1942,63,0.03183
1942,64,0.03448
1942,65,0.03741
1942,66,0.04039
1942,67,0.04338
1942,68,0.04645
1942,69,0.04977
1942,70,0.0542
1942,71,0.05936
1942,72,0.06455
1942,73,0.06958
1942,74,0.07447
1942,75,0.0797
1942,76,0.08591
1942,77,0.09443
1942,78,0.10499
1942,79,0.11683
1942,80,0.12253
1942,81,0.1335
1942,82,0.14614
1942,83,0.16031
1942,84,0.17359
1942,85,0.18484
1942,86,0.19687
1942,87,0.21124
1942,88,0.22794
1942,89,0.24568
1942,90,0.26274
1942,91,0.27415
1942,92,0.27973
1942,93,0.28216
1942,94,0.28568
1942,95,0.33642
1942,96,0.35525
1942,97,0.37453
1942,98,0.39423
1942,99,0.41427
1942,100,0.4346
1942,101,0.45515
1942,102,0.47586
1942,103,0.49664
1942,104,0.51745
1942,105,0.53819
1942,106,0.5588
1942,107,0.5792
1942,108,0.59935
1942,109,0.61916
1942,110+,0.63858
1943,0,0.05049
1943,1,0.00496
1943,2,0.00263
1943,3,0.00189
1943,4,0.00147
1943,5,0.0013
1943,6,0.00123
1943,7,0.00115
1943,8,0.0011
1943,9,0.00108
1943,10,0.00098
1943,11,0.00098
1943,12,0.00102
1943,13,0.00112
1943,14,0.00125
1943,15,0.00146
1943,16,0.00168
1943,17,0.0019
1943,18,0.00243
1943,19,0.0029
1943,20,0.00323
1943,21,0.00343
1943,22,0.00355
1943,23,0.00357
1943,24,0.00345
1943,25,0.00323
1943,26,0.00306
1943,27,0.00296
1943,28,0.00293
1943,29,0.00298
1943,30,0.00312
1943,31,0.00328
1943,32,0.00347
1943,33,0.00367
1943,34,0.00389
1943,35,0.00409
1943,36,0.00433
1943,37,0.00459
1943,38,0.0049
1943,39,0.00525
1943,40,0.00564
1943,41,0.00606
1943,42,0.00652
1943,43,0.00702
1943,44,0.0076
1943,45,0.0082
1943,46,0.00887
1943,47,0.00962
1943,48,0.01046
1943,49,0.01139
1943,50,0.01256
1943,51,0.01383
1943,52,0.01512
1943,53,0.01636
1943,54,0.01756
1943,55,0.0189
1943,56,0.02034
1943,57,0.02192
1943,58,0.02366
1943,59,0.02554
1943,60,0.0271
1943,61,0.02859
1943,62,0.03029
1943,63,0.03234
1943,64,0.03479
1943,65,0.03757
1943,66,0.04058
1943,67,0.0437
1943,68,0.04699
1943,69,0.05059
1943,70,0.05534
1943,71,0.06113
1943,72,0.06729
1943,73,0.07347
1943,74,0.07934
1943,75,0.08509
1943,76,0.09107
1943,77,0.09883
1943,78,0.1098
1943,79,0.12322
1943,80,0.13141
1943,81,0.14268
1943,82,0.15441
1943,83,0.16809
1943,84,0.18329
1943,85,0.19748
1943,86,0.21232
1943,87,0.22961
1943,88,0.24988
1943,89,0.27236
1943,90,0.29414
1943,91,0.31116
1943,92,0.31804
1943,93,0.31578
1943,94,0.31298
1943,95,0.36983
1943,96,0.39073
1943,97,0.41204
1943,98,0.43369
1943,99,0.45559
1943,100,0.47767
1943,101,0.49983
1943,102,0.52199
1943,103,0.54407
1943,104,0.56598
1943,105,0.58763
1943,106,0.60894
1943,107,0.62985
1943,108,0.65029
1943,109,0.67018
1943,110+,0.68949
1944,0,0.04893
1944,1,0.00432
1944,2,0.00238
1944,3,0.00175
1944,4,0.00137
1944,5,0.00124
1944,6,0.00119
1944,7,0.00115
1944,8,0.00111
1944,9,0.00108
1944,10,0.00103
1944,11,0.001
1944,12,0.00103
1944,13,0.00111
1944,14,0.00123
1944,15,0.00141
1944,16,0.00161
1944,17,0.00181
1944,18,0.00258
1944,19,0.00328
1944,20,0.00367
1944,21,0.00377
1944,22,0.00376
1944,23,0.00368
1944,24,0.0035
1944,25,0.0032
1944,26,0.00302
1944,27,0.00292
1944,28,0.00289
1944,29,0.00294
1944,30,0.00308
1944,31,0.00323
1944,32,0.0034
1944,33,0.00359
1944,34,0.00379
1944,35,0.00398
1944,36,0.00419
1944,37,0.00444
1944,38,0.00472
1944,39,0.00506
1944,40,0.00545
1944,41,0.00586
1944,42,0.00628
1944,43,0.00674
1944,44,0.00724
1944,45,0.00779
1944,46,0.00843
1944,47,0.00915
1944,48,0.00996
1944,49,0.01086
1944,50,0.01195
1944,51,0.01318
1944,52,0.01446
1944,53,0.01576
1944,54,0.01706
1944,55,0.01841
1944,56,0.01981
1944,57,0.02135
1944,58,0.02303
1944,59,0.02486
1944,60,0.02646
1944,61,0.02791
1944,62,0.02946
1944,63,0.03123
1944,64,0.03335
1944,65,0.03591
1944,66,0.03885
1944,67,0.04192
1944,68,0.04508
1944,69,0.0484
1944,70,0.05259
1944,71,0.05788
1944,72,0.0637
1944,73,0.07002
1944,74,0.07651
1944,75,0.08282
1944,76,0.08849
1944,77,0.09487
1944,78,0.10298
1944,79,0.11452
1944,80,0.12446
1944,81,0.13499
1944,82,0.14457
1944,83,0.15451
1944,84,0.16647
1944,85,0.18056
1944,86,0.19562
1944,87,0.21201
1944,88,0.23035
1944,89,0.25029
1944,90,0.27001
1944,91,0.2866
1944,92,0.29629
1944,93,0.29361
1944,94,0.28639
1944,95,0.33819
1944,96,0.35733
1944,97,0.37693
1944,98,0.39694
1944,99,0.4173
1944,100,0.43795
1944,101,0.45881
1944,102,0.47982
1944,103,0.5009
1944,104,0.52198
1944,105,0.54298
1944,106,0.56383
1944,107,0.58445
1944,108,0.60479
1944,109,0.62476
1944,110+,0.64433
1945,0,0.04725
1945,1,0.00378
1945,2,0.00204
1945,3,0.00161
1945,4,0.00137
1945,5,0.00127
1945,6,0.00114
1945,7,0.00104
1945,8,0.00099
1945,9,0.00095
1945,10,0.0009
1945,11,0.00095
1945,12,0.00099
1945,13,0.00109
1945,14,0.00122
1945,15,0.0014
1945,16,0.00158
1945,17,0.00174
1945,18,0.00258
1945,19,0.00307
1945,20,0.00324
1945,21,0.00324
1945,22,0.00318
1945,23,0.00309
1945,24,0.003
1945,25,0.00289
1945,26,0.00284
1945,27,0.00285
1945,28,0.00289
1945,29,0.00295
1945,30,0.00306
1945,31,0.00317
1945,32,0.00331
1945,33,0.00349
1945,34,0.00371
1945,35,0.00392
1945,36,0.00417
1945,37,0.00443
1945,38,0.00471
1945,39,0.00503
1945,40,0.00541
1945,41,0.00582
1945,42,0.00625
1945,43,0.00672
1945,44,0.00723
1945,45,0.00778
1945,46,0.00843
1945,47,0.00916
1945,48,0.00997
1945,49,0.01084
1945,50,0.01186
1945,51,0.01302
1945,52,0.01426
1945,53,0.0156
1945,54,0.01702
1945,55,0.01848
1945,56,0.01989
1945,57,0.0214
1945,58,0.02304
1945,59,0.0248
1945,60,0.02642
1945,61,0.0279
1945,62,0.02944
